Chain,Asset,ID,lpTokenSymbol 
Ethereum,USDC,1,S*USDC
Ethereum,USDT,2,S*USDT
Ethereum,ETH,13,S*ETH
Ethereum,METIS,17,S*METIS
Ethereum,mETH,22,S*mETH
BNB Chain,USDC,1,S*USDC
BNB Chain,USDT,2,S*USDT
Avalanche,USDC,1,S*USDC
Avalanche,USDT,2,S*USDT
Polygon,USDC,1,S*USDC
Polygon,USDT,2,S*USDT
Arbitrum,USDC,1,S*USDC
Arbitrum,USDT,2,S*USDT
Arbitrum,ETH,13,S*ETH
Optimism,USDC,1,S*USDC
Optimism,USDT,2,S*USDT
Optimism,ETH,13,S*ETH
Metis,m.USDT,2,S*USDT
Metis,WETH,13,S*WETH
Metis,METIS,17,S*METIS
Linea,ETH,13,S*ETH
Mantle,USDC,1,S*USDC
Mantle,USDT,2,S*USDT
Mantle,WETH,13,S*WETH
Mantle,mETH,22,S*mETH
Base,USDC,1,S*USDC
Base,ETH,13,S*ETH
Kava,USDT,2,S*USDT
Scroll,USDC.e,1,S*USDC.e
Scroll,ETH,13,S*ETH
Aurora,USDC,1,S*USDC
Lightlink,ETH,13,S*ETH
Core,USDC,1,S*USDC
Core,USDT,2,S*USDT
Abstract,ETH,13,S*ETH
Soneium,USDC,1,S*USDC
Soneium,ETH,13,S*ETH
Hemi,ETH,13,S*ETH
Sonic,USDC,1,S*USDC
Gnosis,USDC,1,S*USDC
Gnosis,ETH,13,S*ETH
Unichain,ETH,13,S*ETH
