chain,asset,id,lpTokenSymbol,address,oftAddress
Ethereum,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Ethereum,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000   
Ethereum,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Ethereum,METIS,17,S*METIS,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Ethereum,mETH,22,S*mETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
BNB Chain,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
BNB Chain,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Avalanche,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Avalanche,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Polygon,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Polygon,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Arbitrum,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Arbitrum,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Arbitrum,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Optimism,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Optimism,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Optimism,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Metis,m.USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Metis,WETH,13,S*WETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Metis,METIS,17,S*METIS,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Linea,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Mantle,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Mantle,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Mantle,WETH,13,S*WETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Mantle,mETH,22,S*mETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Base,USDC,1,S*USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x27a16dc786820b16e5c9028b75b99f6f604b5d26
Base,ETH,13,S*ETH,0x4200000000000000000000000000000000000006,0xdc181bd607330aeebef6ea62e03e5e1fb4b6f7c7
Kava,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Scroll,USDC.e,1,S*USDC.e,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Scroll,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Aurora,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Lightlink,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Core,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Core,USDT,2,S*USDT,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Abstract,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Soneium,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Soneium,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Hemi,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Sonic,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Gnosis,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Gnosis,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Unichain,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
